job_id,job_title,company,location,company_size,industry,experience_required,education,posted_date,skills,salary,applications,views,experience_squared,experience_log,location_encoded,company_size_encoded,job_title_encoded,company_encoded,industry_encoded,education_encoded,skill_0,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,skill_10,skill_11,skill_12,skill_13,skill_14,skill_15,skill_16,skill_17,skill_18,skill_19,skill_20,skill_21,skill_22,skill_23,skill_24,skill_25,skill_26,skill_27,skill_28,skill_29,posted_days_ago,posted_month,job_title_popularity,seniority_score,location_experience_interaction
JOB_000000,Frontend Developer,Cognizant,Mumbai,Small,Healthcare,1.0,Master,2025-10-29 15:09:05.910239,"TensorFlow,Kafka,Pandas,PostgreSQL,Excel,Angular",8.26,163.0,3443.0,1.0,0.6931471805599453,15.965,2.0,8.0,5.0,4.0,3.0,0.44512649564600554,0.0,0.0,0.0,0.0,0.0,0.0,0.4500990641402737,0.0,0.0,0.0,0.0,0.0,0.0,0.4460606411568374,0.0,0.0,0.0,0.0,0.0,0.0,0.4448938934166063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4498583814327804,328.0,10.0,535.0,2.0,15.965
JOB_000001,Senior Developer,Uber,Jaipur,Mid,Logistics,5.0,Master,2026-07-26 15:09:05.910257,"Statistics,Deep Learning,FastAPI,Leadership",17.32,17.0,3846.0,25.0,1.791759469228055,12.46,3.0,14.0,22.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6143062666918686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4905140085597567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6180807537124399,0.0,0.0,58.0,7.0,558.0,15.0,62.300000000000004
JOB_000002,Analytics Engineer,Accenture,Pune,Small,Education,1.0,Master,2026-09-09 15:09:05.910261,"JIRA,GCP,PostgreSQL,NumPy,AWS,Tableau,Communication,FastAPI",9.02,147.0,519.0,1.0,0.6931471805599453,14.915,2.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.4102418852262138,0.0,0.0,0.0,0.4104589514596221,0.40745170590062113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40819718504419383,0.4078771836808175,0.0,0.0,0.0,0.0,0.0,0.0,0.40523994532373564,0.0,13.0,9.0,527.0,2.0,14.915
JOB_000003,DevOps Engineer,Startup_A,Gurugram,Mid,Logistics,13.0,Bachelor,2026-05-04 15:09:05.910264,"REST API,Django,Pandas,Statistics,Java,FastAPI,Leadership",23.61,161.0,3116.0,169.0,2.6390573296152584,15.46,3.0,7.0,15.0,5.0,0.0,0.0,0.44710182194948717,0.0,0.0,0.0,0.44201949360520887,0.0,0.0,0.4485192300390614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44710182194948717,0.0,0.45127507041388903,0.0,0.0,141.0,5.0,548.0,39.0,200.98000000000002
JOB_000004,Frontend Developer,HCL,Kolkata,Mid,Healthcare,1.0,PhD,2026-05-19 15:09:05.910265,"Git,FastAPI,Excel",7.3,390.0,1270.0,1.0,0.6931471805599453,12.58,3.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708985902574537,0.705222652749165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,5.0,535.0,3.0,12.58
JOB_000005,Analytics Engineer,Amazon,Kolkata,Large,Logistics,14.0,Bootcamp,2026-05-30 15:09:05.910267,"PostgreSQL,Spark",16.21,496.0,2312.0,196.0,2.70805020110221,12.58,4.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,5.0,527.0,56.0,176.12
JOB_000006,Analytics Engineer,Google,Gurugram,Enterprise,Technology,10.0,Diploma,2026-07-12 15:09:05.910269,"GCP,Python",12.96,209.0,2250.0,100.0,2.3978952727983707,15.46,5.0,1.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,7.0,527.0,50.0,154.60000000000002
JOB_000007,Python Developer,Cognizant,Jaipur,Large,Education,1.0,Master,2026-07-31 15:09:05.910270,"AWS,Agile,Machine Learning,Angular,Docker,Problem Solving,GCP,NumPy",8.16,423.0,1613.0,1.0,0.6931471805599453,12.46,4.0,13.0,5.0,2.0,3.0,0.4214277521406791,0.0,0.0,0.0,0.0,0.0,0.4183762793780224,0.0,0.0,0.4207681504054896,0.0,0.0,0.0,0.0,0.0,0.0,0.33845654677030046,0.0,0.42197984332393385,0.0,0.42153799349576115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,7.0,547.0,4.0,12.46
JOB_000008,DevOps Engineer,Meta,Delhi,Small,Finance,3.0,PhD,2025-10-10 15:09:05.910271,"AWS,GCP,Spark,Docker,Machine Learning,Communication",15.0,431.0,2577.0,9.0,1.3862943611198906,15.03,2.0,7.0,11.0,3.0,4.0,0.0,0.0,0.0,0.0,0.46665381064002903,0.0,0.46084528896229277,0.0,0.0,0.4634799567222632,0.0,0.0,0.0,0.0,0.0,0.0,0.3728129743144621,0.0,0.4648146475273064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,10.0,548.0,6.0,45.089999999999996
JOB_000009,Data Engineer,Startup_C,Delhi,Large,Technology,13.0,Bootcamp,2025-12-16 15:09:05.910273,"SQL,Spark,JIRA,Problem Solving,Pandas,Excel",24.44,265.0,3740.0,169.0,2.6390573296152584,15.03,4.0,5.0,17.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,12.0,560.0,52.0,195.39
JOB_000010,Machine Learning Engineer,Wipro,Hyderabad,Mid,Healthcare,6.0,Master,2026-08-08 15:09:05.910275,"Linux,Deep Learning,NumPy,Power BI",14.03,229.0,848.0,36.0,1.9459101490553132,15.3,3.0,11.0,24.0,4.0,3.0,0.0,0.0,0.0,0.46259511235237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37190719964713886,0.46812656087595533,0.0,0.0,0.4631998293484899,0.0,0.46259511235237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,8.0,548.0,18.0,91.80000000000001
JOB_000011,Business Analyst,Uber,Bangalore,Small,Technology,14.0,PhD,2025-11-23 15:09:05.910276,"JavaScript,Scikit-learn,Pandas",17.15,202.0,640.0,196.0,2.70805020110221,16.06,2.0,3.0,22.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5766417332730368,0.0,0.0,0.57770421127419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57770421127419,0.0,0.0,0.0,303.0,11.0,565.0,28.0,224.83999999999997
JOB_000012,Backend Engineer,Startup_A,Jaipur,Large,Logistics,5.0,Bootcamp,2026-02-17 15:09:05.910277,"Kafka,Java,Power BI,Scikit-learn,Angular,Docker,JIRA,REST API",11.7,233.0,3446.0,25.0,1.791759469228055,12.46,4.0,2.0,15.0,5.0,1.0,0.3331322981635464,0.3340068939342259,0.0,0.3327844173946592,0.0,0.0,0.330720154850621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33383141188489646,0.3343587087412318,0.0,0.0,0.0,0.0,0.0,0.0,0.3327844173946592,0.0,0.0,0.3340068939342259,0.3343587087412318,0.0,0.0,0.0,217.0,2.0,535.0,20.0,62.300000000000004
JOB_000013,Machine Learning Engineer,Startup_A,Chennai,Startup,Logistics,4.0,PhD,2026-09-05 15:09:05.910279,"Pandas,Azure,JIRA,Kafka,GraphQL,React,MongoDB,R",9.96,408.0,748.0,16.0,1.6094379124341003,13.48,1.0,11.0,15.0,5.0,4.0,0.0,0.0,0.4981418916931955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499961977542682,0.0,0.0,0.0,0.5010112011711931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5008796792174082,0.0,0.0,0.0,0.0,0.0,17.0,9.0,548.0,4.0,53.92
JOB_000014,Data Scientist,IBM,Chennai,Enterprise,Logistics,3.0,Diploma,2026-09-06 15:09:05.910280,"AWS,PostgreSQL,Kafka,Statistics",15.62,303.0,3873.0,9.0,1.3862943611198906,13.48,5.0,6.0,9.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5759503048851474,0.0,0.0,0.0,0.0,0.0,0.0,0.5744438085599675,0.0,0.0,0.0,0.0,0.0,0.5816318054489672,0.0,0.0,16.0,9.0,554.0,15.0,40.44
JOB_000016,Business Analyst,Paytm,Gurugram,Small,Healthcare,10.0,PhD,2026-06-02 15:09:05.910282,"Hadoop,Spark,TensorFlow,Problem Solving,Azure",12.44,323.0,1496.0,100.0,2.3978952727983707,15.46,2.0,3.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.4051584760638472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40895780562409895,0.0,0.41024864419313445,0.0,0.0,0.0,0.40895780562409895,0.0,0.0,0.0,0.0,0.0,0.0,0.41024864419313445,0.0,0.405888821707687,0.0,112.0,6.0,565.0,20.0,154.60000000000002
JOB_000017,Solutions Architect,IBM,Chennai,Large,Finance,7.0,Bachelor,2026-05-25 15:09:05.910284,"Java,Django,Leadership,Node.js,Tableau,Scikit-learn",27.83,387.0,3792.0,49.0,2.0794415416798357,13.48,4.0,16.0,9.0,3.0,0.0,0.0,0.5785529586521508,0.5749373427336976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5785529586521508,0.0,0.0,0.0,0.0,120.0,5.0,587.0,28.0,94.36
